Dataset Name,Website Link,Paper Link,Year,Task,Event Types,Event/Video Count,Instantiation,Genre/Video purpose,Text/Graphics,Modalities,Annotations (+ Event structure),Motivation/Contribution (excerpt from paper)
MPII Cooking 2,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/research/human-activity-recognition/mpii-cooking-2-dataset/,https://arxiv.org/pdf/1502.06648.pdf,2015,Hierarchical action recognition,People cooking,"87 activity classes, 273 videos",Scripted,Dataset content,F,Video,"Composite labels, time intervals, object labels, human/hand poses",the challenges of detecting fine-grained activities and understanding how they are combined into composite activities have been largely overlooked. In this work we approach both tasks and present a dataset which provides detailed annotations to address them
TVSum,https://github.com/yalesong/tvsum,https://www.cv-foundation.org/openaccess/content_cvpr_2015/papers/Song_TVSum_Summarizing_Web_2015_CVPR_paper.pdf,2015,"Captioning, shot importance classification",10 categories from TRECVid,"50 videos, 1K annotations",Unknown,Internet videos,F,Video,Shot-level importance scores,"We present TVSum, an unsupervised video summarization framework that uses title-based image search results to find visually important shots. We observe that a video title is often carefully chosen to be maximally descriptive of its main topic, and hence images related to the title can serve as a proxy for important visual concepts of the main topic"
Charades,https://prior.allenai.org/projects/charades,http://ai2-website.s3.amazonaws.com/publications/hollywood-homes.pdf,2016,"Action Recognition, Captioning","daily indoors activities in (Verb, proposition, noun) form","157 classes, 9848 videos",Scripted,Dataset content,F,Video,"(Verb, proposition, noun) triplets, video descriptions, temporal intervals","computer vision methods need to be trained from real and diverse examples of our daily dynamic scenes. While most of such scenes are not particularly exciting, they typically do not appear on YouTube, in movies or TV broadcasts. So how do we collect sufficiently many diverse but boring samples representing our lives? We propose a novel Hollywood in Homes approach to collect such data"
MovieQA,https://github.com/makarandtapaswi/MovieQA_benchmark,https://arxiv.org/abs/1512.02902,2016,QA,Movie 6WH topics,408 movies,Scripted,Movies,F,Video,"QA pairs, temporal intervals","a truly intelligent machine would ideally also infer high-level semantics underlying human actions such as motivation, intent and emotion, in order to react and, possibly, communicate appropriately. We introduce the MovieQA dataset which aims to evaluate automatic story comprehension from both video and text. The dataset consists of 14,944 questions about 408 movies with high semantic diversity"
MSR-VTT,https://www.microsoft.com/en-us/research/publication/msr-vtt-a-large-video-description-dataset-for-bridging-video-and-language/,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/06/cvpr16.msr-vtt.tmei_-1.pdf,2016,Captioning,Daily Activities,10k videos,Unknown,Internet videos,F,Video,Video captions,"current computer vision algorithms are still severely limited in terms of the variability and complexity of the videos and their associated language that they can recognize. This is in part due to the simplicity of current benchmarks, which mostly focus on specific fine-grained domains with limited videos and simple descriptions. While researchers have provided several benchmark datasets for image captioning, we are not aware of any large-scale video description dataset with comprehensive categories yet diverse video content. In this paper we present MSR-VTT (standing for “MSRVideo to Text”) which is a new large-scale video benchmark for video understanding, especially the emerging task of translating video to text."
TGIF,http://raingo.github.io/TGIF-Release/,https://arxiv.org/pdf/1604.02748.pdf,2016,Captioning,Short events in GIFs,"100K videos, 120K descriptions",Both,Tumblr GIFs,F,Video,Natural language descriptions,"With the recent popularity of animated GIFs on social media, there is need for ways to index them with rich metadata. To advance research on animated GIF understanding, we collected a new dataset, Tumblr GIF (TGIF), with 100K animated GIFs from Tumblr and 120K natural language descriptions obtained via crowdsourcing"
Volleyball,https://github.com/mostafa-saad/deep-activity-rec,https://www2.cs.sfu.ca/~mori/research/papers/ibrahim-cvpr16.pdf,2016,Activity Recognition,Team sports actions,"55 videos, 17 classes",Natural,Sports footage,T,Video,Class labels,"the temporal dynamics of tthe whole activity can be inferred based on the dynamics of the individual people representing the activity. we also propose a new volleyball dataset that offers person detections, and both the person action label, as well as the group activity label"
VTW,https://arxiv.org/pdf/1608.07068v2.pdf,https://arxiv.org/pdf/1608.07068v2.pdf,2016,Captioning,Common events of human interest,"18,100 videos",Unknown,Internet videos highlighted by online communities,F,Video,Video titles,We propose a scalable approach to learn video-based question answering (QA): to answer a free-form natural language question about the contents of a video.
YouTube-8M,https://research.google.com/youtube8m/index.html,https://arxiv.org/pdf/1609.08675.pdf,2016,Video Classification,Knowledge graph entity-centric events,"8M videos, 1K classes",Unknown,Internet videos,F,Video,Class labels,"Although large-scale datasets exist for image understanding, such as ImageNet, there are no comparable size video classification datasets. In this paper, we introduce YouTube-8M, the largest multi-label video classification dataset"
ActivityNet-Captions,https://cs.stanford.edu/people/ranjaykrishna/densevid/,https://arxiv.org/abs/1705.00754,2017,Captioning,Daily human activities,"20K videos, 100K descriptions",Unknown,Internet videos,F,Video,"Video captions, temporal intervals","We introduce the task of dense-captioning events, which involves both detecting and describing events in a video"
DiDeMo,https://github.com/LisaAnne/TemporalLanguageRelease,https://arxiv.org/abs/1708.01641,2017,"Action Localization, Captioning",Personal daily content,10K videos,Unknown,Internet videos,F,Video,"Clip captions, temporal intervals","current video datasets do not include pairs of localized video segments and referring expressions, or text descriptions which uniquely identify a corresponding moment. Therefore, we collect the Distinct Describable Moments (DiDeMo) dataset which consists of over 10,000 unedited, personal videos in diverse visual settings with pairs of localized video segments and referring expressions"
Kinetics,https://www.deepmind.com/open-source/kinetics,https://arxiv.org/abs/1705.06950,2017,Action Recognition,Human-focused actions,"700 classes, 650k videos",Unknown,Internet videos,F,Video,Class labels,"We developed this dataset principally because there is a lack of such datasets for human action classification, and we believe that having one will facilitate research in this area"
MSR-VTT-QA,https://github.com/xudejing/video-question-answering,http://staff.ustc.edu.cn/~hexn/papers/mm17-videoQA.pdf,2017,QA,Daily activities,10K video clips and 243k question answer pairs,Unknown,Internet videos,F,Video,QA pairs,"Since VideoQA is a relatively new task, there is no available public dataset. [9] presents a method which can generate question answer pairs from descriptions automatically. We generate two datasets based on this method by converting video captions in existing datasets to question answering pairs (this dataset and MSVD-QA)."
MultiTHUMOS,https://ai.stanford.edu/~syyeung/everymoment.html,https://link.springer.com/article/10.1007/s11263-017-1013-y,2017,Hierarchical Action Recognition,Daily life actions,"400 videos, 65 classes",Unknown,Internet videos,F,Video,Frame-level action labels,"A comprehensive understanding of human activity in video requires labeling every frame according to the actions occurring, placing multiple labels densely over a video sequence. To study this problem we extend the existing THUMOS dataset and introduce MultiTHUMOS, a new dataset of dense labels over unconstrained internet videos"
ShanghaiTech Campus,https://svip-lab.github.io/dataset/campus_dataset.html,https://openaccess.thecvf.com/content_ICCV_2017/papers/Luo_A_Revisit_of_ICCV_2017_paper.pdf,2017,Anomaly detection,Anomalies in public areas,107 videos + 2 hrs subway footage,Unscripted,Multi-view surveilance videos,F,Video,Anomaly labels,We build a very large dataset which is even larger than the summation of all existing dataset for anomaly detection in terms of both the volume of data and the diversity of scenes
Something Something,https://developer.qualcomm.com/software/ai-datasets/something-something,https://arxiv.org/abs/1706.04261,2017,Action recognition,General actions,"220,847 labeled video clips",Scripted,Dataset content,F,Video,"""Caption-templates""","most labelled video datasets represent high-level concepts rather than detailed physical aspects about actions and scenes. In this work, we describe our ongoing collection of the “something-something” database of video prediction tasks whose solutions require a common sense understanding of the depicted situation."
THUMOS,https://www.crcv.ucf.edu/THUMOS14/,https://www.sciencedirect.com/science/article/pii/S1077314216301710,2017,Action Recognition,Daily life actions,"10K+ videos, 101 classes",Unknown,Internet videos,F,Video,"Class labels, secondary actions, temporal intervals",THUMOS challenge was introduced in 2013 to serve as a benchmark for action recognition.
VLOG,https://web.eecs.umich.edu/~fouhey//2017/VLOG/index.html,https://web.eecs.umich.edu/~fouhey//2017/VLOG/paper.pdf,2017,Video Classification,Daily life actions,"114K videos, 346 classes",Half-natural,Vlogs,F,Video,"Hand pose, object, location, nearby object, human pose, hand location","Most past efforts have gathered this data explicitly: starting with a laundry list of action labels, and then querying search engines for videos tagged with each label. In this work, we do the reverse and search implicitly: we start with a large collection of interaction-rich video data and then annotate and analyze it."
YouCook2,http://youcook2.eecs.umich.edu/,http://youcook2.eecs.umich.edu/static/YouCookII/youcookii_readme.pdf,2017,"Hierarchical localization, captioning",Cooking steps,"2K videos, 89 recipes",Natural,Internet cooking videos,F,Video,"Recipe description, temporal intervals, step descriptions","Learning from instructional video is a promising direction that may help ground the vision and language problem. To move toward this goal, we collect a largescale cooking video dataset, called YouCookII, with 2000 videos downloaded from YouTube."
AVA Actions,https://research.google.com/ava/,https://openaccess.thecvf.com/content_cvpr_2018/html/Gu_AVA_A_Video_CVPR_2018_paper.html,2018,"Action recognition, localization",Atomic actions in movies,80 atomic visual actions in 430 15-minute movie clips,Scripted,"Movies, TV",F,Video,"Action labels, bounding boxes, entity coreference","This paper introduces a video dataset of spatio-temporally localized Atomic Visual Actions (AVA). The AVA dataset densely annotates 80 atomic visual actions in 437 15-minute video clips, where actions are localized in space and time, resulting in 1.59M action labels with multiple labels per person occurring frequently."
Charades-Ego,https://prior.allenai.org/projects/charades-ego,https://arxiv.org/pdf/1804.09627.pdf,2018,Action Recognition,daily indoors activities,"7860 videos, 157 classes",Scripted,First and third person dataset content,F,Video,Charades action labels,"Several theories in cognitive neuroscience suggest that when people interact with the world, or simulate interactions, they do so from a first-person egocentric perspective, and seamlessly transfer knowledge between third-person (observer) and first-person (actor). Despite this, learning such models for human action recognition has not been achievable due to the lack of data. This paper takes a step in this direction, with the introduction of Charades-Ego, a large-scale dataset of paired first-person and third-person videos"
Diving48,http://www.svcl.ucsd.edu/projects/resound/dataset.html,https://www.ecva.net/papers/eccv_2018/papers_ECCV/papers/Yingwei_Li_RESOUND_Towards_Action_ECCV_2018_paper.pdf,2018,Hierarchical Action Recognition,Hierarchical diving actions,"18K+ videos, 48 classes",Natural,Diving videos,F,Video,Hierarchical class labels,"A procedure, RESOUND, is proposed to quantify and minimize representation bias. Its application to the problem of action recognition shows that current datasets are biased towards static representations (objects, scenes and people). An implicit RESOUND procedure is used to guide the creation of a new dataset, Diving48, of over 18,000 video clips of competitive diving actions, spanning 48 fine-grained dive classes"
Epic Kitchens,https://epic-kitchens.github.io/2021,https://openaccess.thecvf.com/content_ECCV_2018/papers/Dima_Damen_Scaling_Egocentric_Vision_ECCV_2018_paper.pdf,2018,Hierarchical Action Recognition,Cooking videos,"97 verbs, 100 hours of video",Scripted,First-person dataset content,F,"Video, narration","Transcripts, temporal intervals, active object bounding boxes","First-person vision is gaining interest as it offers a unique viewpoint on people’s interaction with objects, their attention, and even intention. However, progress in this challenging domain has been relatively slow due to the lack of sufficiently large datasets"
FCVid,https://fvl.fudan.edu.cn/dataset/fcvid/list.htm,https://ieeexplore.ieee.org/document/7857793,2018,Classification,Daily life,"91,223 Web videos annotated manually according to 239 categories",Unknown,Internet videos,F,Video,Class labels,"To stimulate future research on large scale video categorization, we collect and release a new benchmark dataset, called FCVID, which contains 91,223 Internet videos and 239 manually annotated categories."
Moments in Time,http://moments.csail.mit.edu/,http://moments.csail.mit.edu/TPAMI.2019.2901464.pdf,2018,Action Recognition,Short events (3s) from verb databases,"339 verbs, 1K+ videos per verb",Unknown,Internet videos,F,Video,Class labels,"The Moments in Time dataset, designed to have a large coverage and diversity of events in both visual and auditory modalities, can serve as a new challenge to develop models that scale to the level of complexity and abstract reasoning that a human processes on a daily basis."
MovieGraphs,http://moviegraphs.cs.toronto.edu/,https://arxiv.org/pdf/1712.06761.pdf,2018,Scene Parsing,Movie social interactions,51 movies,Scripted,Movies,F,Video,"Video description, scene graph","There is growing interest in artificial intelligence to build socially intelligent robots. This requires machines to have the ability to “read” people’s emotions, motivations, and other factors that affect behavior. Towards this goal, we introduce a novel dataset called MovieGraphs which provides detailed, graph-based annotations of social situations depicted in movie clips."
TEMPO,https://github.com/LisaAnne/TemporalLanguageRelease,https://arxiv.org/pdf/1809.01337.pdf,2018,"Localization, captioning",Personal daily content,10K videos,Unknown,Internet videos,F,Video,"Templated captions, natural language captions, temporal intervals","To benchmark whether our model, and other recent video localization models, can effectively reason about temporal language, we collect the novel TEMPOral reasoning in video and language (TEMPO) dataset"
V3C,https://sites.google.com/view/viral2019/home/supported-datasets,https://arxiv.org/pdf/1810.04401.pdf,2018,Retrieval,"Art, photography, comedy, fashion, food, instructionals, music, narrative, journalism","7475 Vimeo videos segmented into 1,082,657 short video segments",Both,Internet videos,F,Video,"Semantic temporal segments, key frames, metadata, video captions","existing video datasets used for research and experimentation are either not large enough to represent current collections or do not reflect the properties of video commonly found on the Internet in terms of content, length, or resolution. In this paper, we introduce the Vimeo Creative Commons Collection, in short V3C, a collection of 28’450 videos (with overall length of about 3’800 hours) published under creative commons license on Vimeo"
ActivityNet-Entities,https://github.com/facebookresearch/ActivityNet-Entities,https://openaccess.thecvf.com/content_CVPR_2019/papers/Zhou_Grounded_Video_Description_CVPR_2019_paper.pdf,2019,Captioning,Daily human activities,"15K videos, 52K event segments",Unknown,Internet videos,F,Video,ActivityNet-Captions annotations + entity bounding boxes,"Video description is one of the most challenging problems in vision and language understanding due to the large variability both on the video and language side. Models, hence, typically shortcut the difficulty in recognition and generate plausible sentences that are based on priors but are not necessarily grounded in the video. In this work, we explicitly link the sentence to the evidence in the video by annotating each noun phrase in a sentence with the corresponding bounding box in one of the frames of a video. Our dataset, ActivityNet-Entities, augments the challenging ActivityNet Captions dataset with 158k bounding box annotations, each grounding a noun phrase."
COIN,https://coin-dataset.github.io/,https://arxiv.org/pdf/1903.02874.pdf,2019,Hierarchical Action Recognition,"nursing & caring, vehicles, leisure & performance, gadgets, electric appliances, household items, science & craft, plants & fruits, snacks & drinks dishes, sports, and housework","11,827 videos, 180 classes",Scripted,Instructional videos,F,Video,"Class labels, temporal intervals","However, most existing datasets for instructional video analysis have the limitations in diversity and scale, which makes them far from many real-world applications where more diverse activities occur. Moreover, it still remains a great challenge to organize and harness such data. To address these problems, we introduce a large-scale dataset called “COIN”"
CrossTask,https://github.com/DmZhukov/CrossTask,https://arxiv.org/pdf/1903.08225.pdf,2019,Task ordering,Instruction steps,"83 tasks, 4.7K videos",Scripted,Instructional videos,F,Video,"Class labels, temporal intervals","weakly supervised learning may be easier if a model shares components while learning different steps: “pour egg” should be trained jointly with other tasks involving “pour” and “egg”. We formalize this in a component model for recognizing steps and a weakly supervised learning framework that can learn this model under temporal constraints from narration and the list of steps. Past data does not permit systematic studying of sharing and so we also gather a new dataset, CrossTask"
FIVR-200K,https://github.com/MKLab-ITI/FIVR-200K,https://arxiv.org/pdf/1809.04094v2.pdf,2019,Retrieval,Armed conflicts and disasters,"225,960 videos associated with 4,687 Wikipedia events",Both,Internet news videos,T,"Video, text articles",Scene labels,"This paper introduces the problem of Fine-grained Incident Video Retrieval (FIVR). Given a query video, the objective is to retrieve all associated videos, considering several types of associations that range from duplicate videos to videos from the same incident. To address the benchmarking needs of all such tasks, we construct and present a large-scale annotated video dataset, which we call FIVR-200K, and it comprises 225,960 videos. "
HowTo100M,https://www.di.ens.fr/willow/research/howto100m/,https://arxiv.org/pdf/1906.03327.pdf,2019,Multiple tasks,Instructional content,"136M clips from 1.2M YT videos, 23K activities",Scripted,Instructional videos,F,Video,"Transcripts, temporal intervals","Learning text-video embeddings usually requires a dataset of video clips with manually provided captions. However, such datasets are expensive and time consuming to create and therefore difficult to obtain on a large scale. In this work, we propose instead to learn such embeddings from video data with readily available natural language annotations in the form of automatically transcribed narrations."
MMAct,https://mmact19.github.io/2019/,https://openaccess.thecvf.com/content_ICCV_2019/papers/Kong_MMAct_A_Large-Scale_Dataset_for_Cross_Modal_Human_Action_Understanding_ICCV_2019_paper.pdf,2019,Action Recognition,"Daily actions, ""abnormal"" actions, desk work","1900+ videos, 37 classes",Scripted,"4 surveillance views + egocentric view, dataset content",F,"RGB, Keypoints, Acceleration, Gyroscope, Orientation, Wi-Fi, Pressure.",Class labels,"body-worn sensors or passive sensing can avoid the failure of action understanding in vision related challenges, e.g. occlusion and appearance variation. However, a standard large-scale dataset does not exist, in which different types of modalities across vision and sensors are integrated. To address the disadvantage of vision-based modalities and push towards multi/cross modal action understanding, this paper introduces a new large-scale dataset"
MTL-AQA,http://rtis.oit.unlv.edu/datasets/,https://openaccess.thecvf.com/content_CVPR_2019/html/Parmar_What_and_How_Well_You_Performed_A_Multitask_Learning_Approach_CVPR_2019_paper.html,2019,"Action quality assessment, action recognition, captioning",Diving actions from 16 diving events,1412 diving samples,Natural,TV diving competition coverage,F,Video,"Transcripts, fine-grained dive classification labels","In this paper, we propose to learn spatio-temporal features that explain three related tasks - fine-grained action recognition, commentary generation, and estimating the AQA score. A new multitask-AQA dataset, the largest to date, comprising of 1412 diving samples was collected to evaluate our approach"
Social-IQ,https://cmu-multicomp-lab.github.io/social-iq-2.0/,https://openaccess.thecvf.com/content_CVPR_2019/papers/Zadeh_Social-IQ_A_Question_Answering_Benchmark_for_Artificial_Social_Intelligence_CVPR_2019_paper.pdf,2019,QA,Social interactions,"1, 250 videos, 7, 500",Unknown,Internet videos,F,Video,"Transcripts, QA pairs","In this paper, we introduce the Social-IQ, an unconstrained benchmark specifically designed to train and evaluate socially intelligent technologies."
WebVid-2M,https://github.com/m-bain/frozen-in-time,https://arxiv.org/pdf/2104.00650.pdf,2019,Captioning,Unknown,2.6M video clips,Unknown,Internet videos,F,Video,Video captions,"Our objective in this work is video-text retrieval – in particular a joint embedding that enables efficient text-to-video retrieval. The challenges in this area include the design of the visual architecture and the nature of the training data, in that the available large scale video-text training datasets, such as HowTo100M, are noisy and hence competitive performance is achieved only at scale through large amounts of compute. We also provide a new video-text pretraining dataset WebVid-2M, comprised of over two million videos with weak captions scraped from the internet"
CondensedMovies,https://www.robots.ox.ac.uk/~vgg/data/condensed-movies/,https://arxiv.org/abs/2005.04208,2020,Retrieval,General movie actions,"3K movies, 33,976 clips",Scripted,Movies,F,Video,"High level semantic scene description, character face-tracks, movie metadata","Our objective in this work is long range understanding of the narrative structure of movies. Instead of considering the entire movie, we propose to learn from the ‘key scenes’ of the movie, providing a condensed look at the full storyline. To this end, we make the following three contributions: (i) We create the Condensed Movies Dataset (CMD) consisting of the key scenes from over 3K movies: each key scene is accompanied by a high level semantic description of the scene, character face-tracks, and metadata about the movie"
DramaQA,https://dramaqa.snu.ac.kr/,https://arxiv.org/abs/2005.03356,2020,QA,Character-centric story events,"17,983 QA pairs from 23,928 various length video clips",Scripted,TV drama,F,Video,"QA pairs, character bounding boxes, emotion labels, entity coreference resolutions","we propose a novel video question answering (Video QA) task, DramaQA, for a comprehensive understanding of the video story. The DramaQA focuses on two perspectives: 1) Hierarchical QAs as an evaluation metric based on the cognitive developmental stages of human intelligence. 2) Character-centered video annotations to model local coherence of the story."
FineGym,https://sdolivia.github.io/FineGym/,https://arxiv.org/pdf/2004.06704.pdf,2020,Hierarchical Action Recognition,Hierarchical gymnastics actions,"10 event categories, 303 videos",Natural,Gymnastics competition recordings,F,Video,"Hierarchical class labels, temporal intervals","On public benchmarks, current action recognition techniques have achieved great success. However, when used in real-world applications, e.g. sport analysis, which requires the capability of parsing an activity into phases and differentiating between subtly different actions, their performances remain far from being satisfactory. To take action recognition to a new level, we develop FineGym1 , a new dataset built on top of gymnastic videos"
HLVU,https://github.com/usnistgov/HLVU,https://arxiv.org/pdf/2005.00463.pdf,2020,Scene Parsing,General movie actions,10 movies,Scripted,Movies,F,Video,"Character/location relationships, QA pairs","In this paper we propose a new evaluation challenge and direction in the area of High-level Video Understanding. The challenge we are proposing is designed to test automatic video analysis and understanding, and how accurately systems can comprehend a movie in terms of actors, entities, events and their relationship to each other. A pilot High-Level Video Understanding (HLVU) dataset of open source movies were collected for human assessors to build a knowledge graph representing each of them"
HowToVQA69M,https://antoyang.github.io/just-ask.html,https://arxiv.org/abs/2012.00451,2020,QA,Instructional content,69M video-questionanswer triplets,Scripted,Instructional videos,F,Video,QA pairs,"We leverage a question generation transformer trained on text data and use it to generate question-answer pairs from transcribed video narrations. Given narrated videos, we then automatically generate the HowToVQA69M dataset with 69M video-questionanswer triplets."
HVU,https://holistic-video-understanding.github.io/,https://pages.iai.uni-bonn.de/gall_juergen/download/HVU_eccv20.pdf,2020,Video Classification,Daily human activities,"577K videos, 3K classes",Unknown,Internet videos,F,Video,"Scene, object, action, event, attribute, and concept labels","However, research is still mainly limited to human action or sports recognition - focusing on a highly specific video understanding task and thus leaving a significant gap towards describing the overall content of a video. We fill this gap by presenting a largescale “Holistic Video Understanding Dataset” (HVU). HVU is organized hierarchically in a semantic taxonomy that focuses on multi-label and multi-task video understanding as a comprehensive problem that encompasses the recognition of multiple semantic aspects in the dynamic scene."
LEMMA,https://sites.google.com/view/lemma-activity,https://arxiv.org/pdf/2007.15781.pdf,2020,Hierarchical action Recognition,"Multi-agent, ""complex"" human activities","324 activities, 10.1 hours of footage ",Scripted,First and third person dataset content,F,"Video, depth, skeletons","Human bounding boxes, verb/noun labels, temporal intervals, class label","However, a few imperative components of daily human activities are largely missed in prior literature, including the goal-directed actions, concurrent multi-tasks, and collaborations among multi-agents. We introduce the LEMMA dataset to provide a single home to address these missing dimensions"
MovieNet,https://movienet.github.io/,https://arxiv.org/pdf/2007.10937.pdf,2020,Multiple tasks,General movie actions,1.1K movies,Scripted,Movies,F,"Movie, subtitles, IMDB metadata","Cinematic style, character bounding boxes, scene boundaries, action/place tags, video captions","how to understand a story-based long video with artistic styles, e.g. movie, remains challenging. In this paper, we introduce MovieNet – a holistic dataset for movie understanding"
NBA,https://ruiyan1995.github.io/SAM.html,https://arxiv.org/pdf/2007.09470.pdf,2020,Activity Recognition,Group basketball activities,"9,172 videos, 9 classes",Natural,Basketball footage,F,Video,Class labels,"This paper presents a new task named weakly-supervised group activity recognition (GAR) which differs from conventional GAR tasks in that only video-level labels are available, yet the important persons within each frame are not provided even in the training data. This eases us to collect and annotate a large-scale NBA dataset and thus raise new challenges to GAR."
TVQA+,https://tvqa.cs.unc.edu/,https://arxiv.org/abs/1904.11574,2020,QA,Events involving 6W1H,152.5K QA pairs from 21.8K video clips from 6 TV shows,Unknown,TV shows,F,Video,"Multiple choice questions, temporal ground truth intervals, relevant entity bounding boxes and labels, transcripts, transcript temporal intervals","We present the task of Spatio-Temporal Video Question Answering, which requires intelligent systems to simultaneously retrieve relevant moments and detect referenced visual concepts (people and objects) to answer natural language questions about videos."
TVR/TVC,https://tvr.cs.unc.edu/,https://arxiv.org/pdf/2001.09099.pdf,2020,"Retrieval, Captioning","Events pertaining to TV visual content, TV audio content, and both","108,965 queries on 21,793 videos from 6 TV shows",Scripted,TV shows,F,Video,"Transcript, queries, query type labels, temporal intervals","We introduce TV show Retrieval (TVR), a new multimodal retrieval dataset. TVR requires systems to understand both videos and their associated subtitle (dialogue) texts, making it more realistic."
